time	V(n003)	V(n005)
1.167122657650403e-006	9.666011e-003	3.387720e-001
1.170263873335432e-006	9.736284e-003	3.334746e-001
1.175035639497612e-006	9.809728e-003	3.260717e-001
1.182848139497612e-006	9.912893e-003	3.153720e-001
1.190660639497612e-006	1.000754e-002	3.062470e-001
1.198473139497612e-006	1.008439e-002	2.985453e-001
1.206285639497612e-006	1.014091e-002	2.919179e-001
1.214098139497612e-006	1.018393e-002	2.861338e-001
1.221910639497612e-006	1.021823e-002	2.810363e-001
1.229723139497612e-006	1.024537e-002	2.764989e-001
1.237535639497612e-006	1.026682e-002	2.724236e-001
1.245348139497612e-006	1.028402e-002	2.687368e-001
1.253160639497612e-006	1.029784e-002	2.653800e-001
1.260973139497612e-006	1.030890e-002	2.623061e-001
1.268785639497612e-006	1.031770e-002	2.594773e-001
1.276598139497611e-006	1.032464e-002	2.568623e-001
1.284410639497611e-006	1.033003e-002	2.544355e-001
1.292223139497611e-006	1.033408e-002	2.521754e-001
1.300035639497611e-006	1.033700e-002	2.500637e-001
1.307848139497611e-006	1.033893e-002	2.480851e-001
1.315660639497611e-006	1.034000e-002	2.462263e-001
1.323473139497611e-006	1.034031e-002	2.444759e-001
1.331285639497611e-006	1.033994e-002	2.428239e-001
1.346910639497611e-006	1.033746e-002	2.397820e-001
1.362535639497611e-006	1.033300e-002	2.370430e-001
1.378160639497611e-006	1.032688e-002	2.345617e-001
1.393785639497611e-006	1.031937e-002	2.323020e-001
1.401598139497611e-006	1.031514e-002	2.312460e-001
1.409410639497611e-006	1.031063e-002	2.302349e-001
1.417223139497611e-006	1.030586e-002	2.292658e-001
1.425035639497611e-006	1.030084e-002	2.283362e-001
1.432848139497611e-006	1.029558e-002	2.274438e-001
1.440660639497611e-006	1.029010e-002	2.265862e-001
1.448473139497611e-006	1.028441e-002	2.257615e-001
1.456285639497611e-006	1.027852e-002	2.249680e-001
1.464098139497611e-006	1.027244e-002	2.242038e-001
1.471910639497611e-006	1.026618e-002	2.234675e-001
1.479723139497611e-006	1.025975e-002	2.227575e-001
1.487535639497611e-006	1.025316e-002	2.220726e-001
1.503160639497611e-006	1.023952e-002	2.207730e-001
1.518785639497611e-006	1.022532e-002	2.195596e-001
1.534410639497611e-006	1.021060e-002	2.184245e-001
1.550035639497611e-006	1.019541e-002	2.173609e-001
1.565660639497611e-006	1.017979e-002	2.163627e-001
1.589098139497611e-006	1.015565e-002	2.149765e-001
1.612535639497611e-006	1.013074e-002	2.137097e-001
1.635973139497610e-006	1.010519e-002	2.125490e-001
1.659410639497610e-006	1.007907e-002	2.114831e-001
1.682848139497610e-006	1.005249e-002	2.105022e-001
1.701821353783324e-006	1.003060e-002	2.097722e-001
1.720794568069039e-006	1.000858e-002	2.090804e-001
1.739767782354753e-006	9.986423e-003	2.084268e-001
1.758740996640467e-006	9.964140e-003	2.078114e-001
1.777714210926181e-006	9.941726e-003	2.072343e-001
1.796687425211896e-006	9.919181e-003	2.066954e-001
1.815660639497610e-006	9.896506e-003	2.061947e-001
1.831285639497610e-006	9.877870e-003	2.057987e-001
1.839098139497610e-006	9.868548e-003	2.056078e-001
1.846910639497610e-006	9.859227e-003	2.054215e-001
1.854723139497610e-006	9.849904e-003	2.052395e-001
1.862535639497610e-006	9.840585e-003	2.050619e-001
1.870348139497610e-006	9.831270e-003	2.048885e-001
1.878160639497610e-006	9.821959e-003	2.047192e-001
1.885973139497610e-006	9.812655e-003	2.045538e-001
1.893785639497610e-006	9.803358e-003	2.043922e-001
1.901598139497610e-006	9.794069e-003	2.042344e-001
1.909410639497610e-006	9.784790e-003	2.040803e-001
1.917223139497610e-006	9.775520e-003	2.039297e-001
1.925035639497610e-006	9.766263e-003	2.037825e-001
1.932848139497610e-006	9.757018e-003	2.036388e-001
1.940660639497611e-006	9.747786e-003	2.034983e-001
1.948473139497611e-006	9.738569e-003	2.033610e-001
1.964098139497611e-006	9.720181e-003	2.030956e-001
1.979723139497612e-006	9.701857e-003	2.028421e-001
1.987535639497612e-006	9.692722e-003	2.027193e-001
1.992187500000000e-006	9.687291e-003	2.026477e-001
2.000000000000000e-006	9.680182e-003	2.025264e-001
2.000000100000000e-006	9.680360e-003	2.025307e-001
2.000000300000000e-006	9.680786e-003	2.025413e-001
2.000000700000000e-006	9.681845e-003	2.025689e-001
2.000001000000000e-006	9.682774e-003	2.025941e-001
2.000001075893728e-006	9.682897e-003	2.025992e-001
2.000001227681185e-006	9.683124e-003	2.026093e-001
2.000001531256100e-006	9.683502e-003	2.026287e-001
2.000002138405928e-006	9.684024e-003	2.026647e-001
2.000003352705585e-006	9.684555e-003	2.027265e-001
2.000005437166203e-006	9.684832e-003	2.028109e-001
2.000007419892485e-006	9.684850e-003	2.028699e-001
2.000010300951788e-006	9.684891e-003	2.029305e-001
2.000013826737656e-006	9.685121e-003	2.029850e-001
2.000019944798816e-006	9.685756e-003	2.030575e-001
2.000029271957129e-006	9.686851e-003	2.031439e-001
2.000047926273753e-006	9.689025e-003	2.032681e-001
2.000085234907003e-006	9.693137e-003	2.034241e-001
2.000142837035332e-006	9.699104e-003	2.035554e-001
2.000206929121518e-006	9.705255e-003	2.036224e-001
2.000299873798104e-006	9.713189e-003	2.036501e-001
2.000440805262330e-006	9.722739e-003	2.036270e-001
2.000722668190783e-006	9.733459e-003	2.034938e-001
2.001286394047689e-006	9.733290e-003	2.031263e-001
2.002038778279068e-006	9.705845e-003	2.025642e-001
2.002779693090308e-006	9.660162e-003	2.019715e-001
2.003680264934980e-006	9.589286e-003	2.010413e-001
2.004266173282980e-006	9.524406e-003	1.999575e-001
2.004765751005165e-006	9.443704e-003	1.985416e-001
2.005144088867851e-006	9.367026e-003	1.973671e-001
2.005538076847290e-006	9.286353e-003	1.963877e-001
2.006057475949383e-006	9.213042e-003	1.958805e-001
2.006747052091941e-006	9.213831e-003	1.969174e-001
2.007369964375172e-006	9.360458e-003	2.001368e-001
2.007936139292844e-006	9.673070e-003	2.057302e-001
2.008459557525496e-006	1.015048e-002	2.134591e-001
2.009006571333957e-006	1.083532e-002	2.235544e-001
2.009614013407582e-006	1.173466e-002	2.356618e-001
2.010222703173184e-006	1.267427e-002	2.476109e-001
2.010885010223892e-006	1.364243e-002	2.601610e-001
2.011598146084186e-006	1.457155e-002	2.736481e-001
2.012509067373169e-006	1.560662e-002	2.913454e-001
2.013473822041677e-006	1.655971e-002	3.106803e-001
2.014489879585521e-006	1.741767e-002	3.315582e-001
2.015889895147895e-006	1.840959e-002	3.607526e-001
2.017172637930939e-006	1.914892e-002	3.876375e-001
2.018524039190108e-006	1.974630e-002	4.158949e-001
2.020426138526612e-006	2.036338e-002	4.553775e-001
2.022389800012541e-006	2.080542e-002	4.957346e-001
2.025182269216351e-006	2.122715e-002	5.525309e-001
2.028268984922983e-006	2.142286e-002	6.163267e-001
2.033485692779117e-006	1.995933e-002	7.439526e-001
2.037060481991442e-006	1.440876e-002	8.880997e-001
2.040374333383739e-006	2.102418e-003	1.131378e+000
2.044281460377253e-006	-1.781528e-002	1.592215e+000
2.049067774702624e-006	-3.976046e-002	2.377976e+000
2.054033647634038e-006	-5.532138e-002	3.375240e+000
2.056347339922035e-006	-5.905837e-002	3.895154e+000
2.057757707510547e-006	-5.399176e-002	4.231948e+000
2.058578501586639e-006	-3.422750e-002	4.437792e+000
2.059105178678012e-006	5.108593e-003	4.581630e+000
2.059682361591634e-006	9.585185e-002	4.760426e+000
2.060323435279640e-006	2.560680e-001	4.986299e+000
2.060661683353060e-006	3.699520e-001	5.119194e+000
2.060973154543027e-006	4.917902e-001	5.249596e+000
2.061284987546252e-006	6.186568e-001	5.382649e+000
2.061908653552700e-006	8.726326e-001	5.649657e+000
2.062868295955414e-006	1.257408e+000	6.059454e+000
2.063907362120964e-006	1.670185e+000	6.504002e+000
2.065266839031050e-006	2.214060e+000	7.091820e+000
2.067164352425370e-006	2.988345e+000	7.927044e+000
2.069794525641774e-006	4.093846e+000	9.114238e+000
2.074283476073148e-006	6.047255e+000	1.119999e+001
2.080323804369655e-006	8.731675e+000	1.405058e+001
2.088136304369655e-006	1.199022e+001	1.750160e+001
2.095948804369655e-006	1.454765e+001	2.022121e+001
2.103761304369655e-006	1.636985e+001	2.218253e+001
2.108786784157156e-006	1.738448e+001	2.328273e+001
2.114862869820334e-006	1.859118e+001	2.463713e+001
2.117171947821362e-006	1.895023e+001	2.514514e+001
2.119617521450912e-006	1.917713e+001	2.566001e+001
2.122351821104016e-006	1.932658e+001	2.621318e+001
2.124867121916641e-006	1.941089e+001	2.670434e+001
2.128074133022225e-006	1.947866e+001	2.730645e+001
2.131753421239762e-006	1.952919e+001	2.796221e+001
2.136573878605980e-006	1.957146e+001	2.875853e+001
2.142335015323522e-006	1.960344e+001	2.960494e+001
2.149751713884609e-006	1.963036e+001	3.054801e+001
2.152977225632489e-006	1.963881e+001	3.088968e+001
2.154813227892826e-006	1.964267e+001	3.103557e+001
2.156134000095660e-006	1.964516e+001	3.110327e+001
2.157500412791792e-006	1.964741e+001	3.114513e+001
2.158649132032860e-006	1.964894e+001	3.116854e+001
2.160128943772303e-006	1.965044e+001	3.119015e+001
2.161943818622047e-006	1.965172e+001	3.120941e+001
2.165573568321534e-006	1.965331e+001	3.123632e+001
2.169455539616223e-006	1.965427e+001	3.125572e+001
2.173729794938398e-006	1.965480e+001	3.126916e+001
2.178657202983026e-006	1.965511e+001	3.127872e+001
2.185320633533549e-006	1.965533e+001	3.128631e+001
2.193133133533549e-006	1.965545e+001	3.129129e+001
